time;ffmpegPid;ffmpegMemMB;mtxPid;mtxMemMB;lumoraMemMB;capMemMB;ready;mbReceived;readers;framesInError;gpuPct;encPct;decPct;gpuTempC;logErrLines;lastFps;lastSpeed
2026-07-07 01:26:26;53476;214;48396;51;598;214;True;321.9;1;0;11;6;15;49;121;;
2026-07-07 01:27:27;53476;214;48396;57;597;215;True;380.5;2;0;11;8;11;50;121;;
2026-07-07 01:28:27;53476;218;48396;57;607;215;True;439.1;2;0;11;8;12;50;121;;
2026-07-07 01:29:27;53964;212;53656;55;604;138;True;15.1;2;0;10;10;11;50;120;;
2026-07-07 01:30:27;53964;213;53656;57;605;168;True;73.8;2;0;10;9;15;51;120;;
2026-07-07 01:31:27;54680;215;53656;56;606;149;True;28.6;2;0;7;8;16;51;119;;
2026-07-07 01:32:27;54680;217;53656;57;605;178;True;72.9;2;0;7;12;3;51;119;;
2026-07-07 01:33:27;54680;217;53656;59;631;193;True;117.3;2;0;10;7;1;52;119;;
2026-07-07 01:34:27;54680;217;53656;58;604;197;True;161.4;2;0;12;8;15;52;119;;
2026-07-07 01:35:28;54680;217;53656;58;614;197;True;205.6;2;0;7;7;13;52;119;;
2026-07-07 01:36:28;54680;218;53656;58;606;197;True;249.9;2;0;9;9;14;53;119;;
2026-07-07 01:37:28;54680;218;53656;59;605;198;True;294.2;2;0;8;7;12;53;119;;
2026-07-07 01:38:28;54680;218;53656;54;602;198;True;338.4;1;0;9;8;13;53;119;;
2026-07-07 01:39:28;54680;219;53656;55;604;198;True;382.6;1;0;8;8;11;53;119;;
2026-07-07 01:40:28;54680;219;53656;54;606;198;True;426.9;1;0;7;6;10;54;119;;
2026-07-07 01:41:28;54680;219;53656;54;602;198;True;471.1;1;0;8;8;11;54;119;;
2026-07-07 01:42:28;54680;219;53656;54;609;198;True;515.2;1;0;9;13;12;54;119;;
2026-07-07 01:43:28;54680;219;53656;54;604;198;True;559.6;1;0;8;12;14;54;119;;
2026-07-07 01:44:28;54680;219;53656;54;601;199;True;604.1;1;0;8;8;15;54;119;;
2026-07-07 01:45:29;54680;219;53656;55;606;198;True;648.3;1;0;9;10;13;54;119;;
2026-07-07 01:46:29;54680;219;53656;54;607;199;True;692.5;1;0;8;9;9;54;119;;
2026-07-07 01:47:29;54680;219;53656;55;611;199;True;736.9;1;0;8;11;13;54;119;;
2026-07-07 01:48:29;54680;219;53656;54;608;199;True;781;1;0;7;8;14;54;119;;
2026-07-07 01:49:29;54680;219;53656;54;602;198;True;825.3;1;0;8;8;7;54;119;;
2026-07-07 01:50:29;54680;219;53656;54;607;198;True;869.5;1;0;8;10;12;54;119;;
2026-07-07 01:51:29;54680;219;53656;54;606;198;True;913.8;1;0;9;9;9;55;119;;
2026-07-07 01:52:29;54680;219;53656;55;603;198;True;958.1;1;0;8;7;12;55;119;;
2026-07-07 01:53:29;54680;219;53656;55;607;198;True;1002.3;1;0;8;10;12;55;119;;
2026-07-07 01:54:29;54680;219;53656;54;603;198;True;1046.6;1;0;8;8;13;55;119;;
2026-07-07 01:55:30;54680;219;53656;55;607;199;True;1091;1;0;8;10;13;55;119;;
2026-07-07 01:56:30;54680;219;53656;56;604;199;True;1135.3;1;0;9;11;12;55;119;;
2026-07-07 01:57:30;54680;219;53656;55;604;199;True;1179.4;1;0;8;5;12;55;119;;
2026-07-07 01:58:30;54680;219;53656;55;605;199;True;1223.6;1;0;9;11;14;55;119;;
2026-07-07 01:59:30;54680;219;53656;55;605;198;True;1267.9;1;0;10;10;1;55;119;;
2026-07-07 02:00:30;54680;219;53656;55;604;198;True;1312.1;1;0;8;7;13;55;119;;
2026-07-07 02:01:30;54680;219;53656;55;601;199;True;1356.4;1;0;7;7;9;55;119;;
2026-07-07 02:02:30;54680;219;53656;55;603;199;True;1400.7;1;0;8;10;10;55;119;;
2026-07-07 02:03:30;54680;219;53656;55;605;198;True;1445;1;0;8;9;14;55;119;;
2026-07-07 02:04:31;54680;219;53656;54;604;198;True;1489.4;1;0;8;10;8;55;119;;
2026-07-07 02:05:31;54680;219;53656;55;609;199;True;1533.6;1;0;9;9;9;55;119;;
2026-07-07 02:06:31;54680;219;53656;55;613;198;True;1577.9;1;0;8;9;13;55;119;;
2026-07-07 02:07:31;54680;220;53656;55;604;198;True;1622.2;1;0;8;8;14;55;119;;
2026-07-07 02:08:31;54680;220;53656;55;605;199;True;1666.4;1;0;7;7;12;55;119;;
2026-07-07 02:09:31;54680;221;53656;55;603;199;True;1710.7;1;0;8;7;13;55;119;;
2026-07-07 02:10:31;54680;221;53656;55;600;197;True;1754.9;1;0;8;9;13;55;119;;
2026-07-07 02:11:31;54680;221;53656;55;603;198;True;1799.2;1;0;8;8;14;54;119;;
2026-07-07 02:12:31;54680;220;53656;55;623;198;True;1843.5;1;0;8;11;8;55;119;;
2026-07-07 02:13:31;54680;220;53656;55;599;198;True;1887.8;1;0;8;8;10;55;119;;
2026-07-07 02:14:32;54680;220;53656;54;603;198;True;1932.2;1;0;8;10;15;55;119;;
2026-07-07 02:15:32;54680;220;53656;55;611;198;True;1976.5;1;0;9;8;12;55;119;;
2026-07-07 02:16:32;54680;220;53656;54;612;199;True;2020.8;1;0;9;16;17;55;119;;
2026-07-07 02:17:32;54680;220;53656;56;606;198;True;2065.1;1;0;8;10;14;55;119;;
2026-07-07 02:18:32;54680;220;53656;54;604;198;True;2109.4;1;0;8;9;15;55;119;;
2026-07-07 02:19:32;54680;220;53656;55;603;199;True;2153.6;1;0;7;8;12;55;119;;
2026-07-07 02:20:32;54680;221;53656;55;605;198;True;2197.9;1;0;8;9;8;55;119;;
2026-07-07 02:21:32;54680;221;53656;55;614;198;True;2242.2;1;0;8;9;12;55;119;;
2026-07-07 02:22:32;54680;221;53656;55;603;199;True;2286.5;1;0;8;10;16;55;119;;
2026-07-07 02:23:32;54680;222;53656;55;605;199;True;2330.7;1;0;8;9;13;54;119;;
2026-07-07 02:24:33;54680;246;53656;55;615;198;True;2374.8;1;0;8;9;9;55;119;;
2026-07-07 02:25:33;54680;222;53656;55;605;198;True;2419.4;1;0;8;7;14;54;119;;
2026-07-07 02:26:33;54680;221;53656;55;609;199;True;2463.7;1;0;8;8;14;54;119;;
2026-07-07 02:27:33;54680;221;53656;55;605;198;True;2508;1;0;8;9;9;54;119;;
2026-07-07 02:28:33;54680;221;53656;55;610;198;True;2552.2;1;0;8;10;9;54;119;;
2026-07-07 02:29:33;54680;222;53656;55;619;198;True;2596.6;1;0;8;8;16;54;119;;
2026-07-07 02:30:33;54680;221;53656;55;620;199;True;2640.7;1;0;8;8;12;54;119;;
2026-07-07 02:31:33;54680;221;53656;56;619;198;True;2685;1;0;9;14;17;54;119;;
2026-07-07 02:32:33;54680;221;53656;56;607;198;True;2729.3;1;0;8;9;12;54;119;;
2026-07-07 02:33:33;54680;221;53656;54;616;199;True;2773.5;1;0;8;9;13;54;119;;
2026-07-07 02:34:34;54680;221;53656;55;606;198;True;2817.8;1;0;8;11;14;54;119;;
2026-07-07 02:35:34;54680;221;53656;56;608;198;True;2862.1;1;0;8;7;12;54;119;;
2026-07-07 02:36:34;54680;221;53656;55;612;198;True;2906.5;1;0;8;8;13;54;119;;
2026-07-07 02:37:34;54680;221;53656;56;609;199;True;2950.9;1;0;8;10;14;54;119;;
2026-07-07 02:38:34;54680;221;53656;56;612;198;True;2994.9;1;0;9;10;15;54;119;;
2026-07-07 02:39:34;54680;221;53656;56;629;198;True;3039.2;1;0;9;9;10;54;119;;
2026-07-07 02:40:34;54680;221;53656;56;619;199;True;3083.6;1;0;8;9;13;54;119;;
2026-07-07 02:41:34;54680;221;53656;55;611;198;True;3127.7;1;0;8;9;11;54;119;;
2026-07-07 02:42:34;54680;221;53656;56;609;198;True;3172;1;0;9;9;15;54;119;;
2026-07-07 02:43:34;54680;221;53656;56;612;198;True;3216.3;1;0;8;9;13;54;119;;
2026-07-07 02:44:35;54680;221;53656;56;603;199;True;3260.6;1;0;8;9;13;54;119;;
2026-07-07 02:45:35;54680;221;53656;56;614;198;True;3304.8;1;0;8;8;13;54;119;;
2026-07-07 02:46:35;54680;221;53656;56;614;198;True;3349.1;1;0;8;9;12;54;119;;
2026-07-07 02:47:35;54680;221;53656;55;613;199;True;3393.4;1;0;8;9;10;54;119;;
2026-07-07 02:48:35;54680;221;53656;55;611;198;True;3437.9;1;0;9;9;9;54;119;;
2026-07-07 02:49:35;54680;221;53656;56;605;198;True;3482.1;1;0;8;9;13;54;119;;
2026-07-07 02:50:35;54680;221;53656;56;617;198;True;3526.4;1;0;8;9;12;54;119;;
2026-07-07 02:51:35;54680;221;53656;56;604;199;True;3570.7;1;0;8;11;12;54;119;;
2026-07-07 02:52:35;54680;221;53656;56;606;198;True;3614.9;1;0;9;9;9;54;119;;
2026-07-07 02:53:35;54680;221;53656;56;605;198;True;3659.3;1;0;8;8;11;54;119;;
2026-07-07 02:54:36;54680;221;53656;56;616;199;True;3703.6;1;0;8;8;13;54;119;;
2026-07-07 02:55:36;54680;221;53656;56;605;198;True;3747.8;1;0;7;11;7;54;119;;
2026-07-07 02:56:36;54680;221;53656;55;617;198;True;3792;1;0;8;7;10;54;119;;
2026-07-07 02:57:36;54680;221;53656;56;614;198;True;3836.2;1;0;8;8;15;54;119;;
2026-07-07 02:58:36;54680;221;53656;56;607;199;True;3880.5;1;0;8;10;12;54;119;;
2026-07-07 02:59:36;54680;221;53656;56;614;198;True;3924.9;1;0;8;7;12;54;119;;
2026-07-07 03:00:36;54680;221;53656;56;613;198;True;3969.3;1;0;8;7;9;54;119;;
2026-07-07 03:01:36;54680;221;53656;56;605;199;True;4013.4;1;0;8;9;11;54;119;;
2026-07-07 03:02:36;54680;221;53656;56;611;198;True;4057.7;1;0;7;7;13;54;119;;
2026-07-07 03:03:37;54680;221;53656;55;608;198;True;4101.9;1;0;8;7;12;55;119;;
2026-07-07 03:04:37;54680;220;53656;56;625;199;True;4146.2;1;0;8;7;7;55;119;;
2026-07-07 03:05:37;54680;220;53656;55;616;199;True;4190.5;1;0;9;11;12;54;119;;
2026-07-07 03:06:37;54680;220;53656;56;626;198;True;4234.8;1;0;8;9;12;54;119;;
2026-07-07 03:07:37;54680;220;53656;55;608;198;True;4279;1;0;9;10;13;54;119;;
2026-07-07 03:08:37;54680;252;53656;55;612;199;True;4323.1;1;0;7;7;12;54;119;;
2026-07-07 03:09:37;54680;252;53656;56;605;198;True;4367.4;1;0;8;10;13;54;119;;
2026-07-07 03:10:37;54680;220;53656;56;621;198;True;4411.9;1;0;8;10;13;54;119;;
2026-07-07 03:11:37;54680;220;53656;56;620;198;True;4456.2;1;0;9;9;10;54;119;;
2026-07-07 03:12:37;54680;220;53656;56;613;199;True;4500.5;1;0;9;8;9;54;119;;
2026-07-07 03:13:38;54680;220;53656;56;604;198;True;4544.7;1;0;7;6;11;55;119;;
2026-07-07 03:14:38;54680;220;53656;56;610;198;True;4588.9;1;0;7;8;10;54;119;;
2026-07-07 03:15:38;54680;220;53656;56;608;199;True;4633.3;1;0;8;7;14;54;119;;
2026-07-07 03:16:38;54680;220;53656;56;613;198;True;4677.5;1;0;8;7;8;54;119;;
2026-07-07 03:17:38;54680;220;53656;56;609;198;True;4721.7;1;0;7;10;9;54;119;;
2026-07-07 03:18:38;54680;220;53656;56;606;199;True;4766;1;0;8;11;11;54;119;;
2026-07-07 03:19:38;54680;220;53656;56;603;199;True;4810.4;1;0;9;11;11;55;119;;
2026-07-07 03:20:38;54680;220;53656;56;614;198;True;4854.7;1;0;8;10;12;55;119;;
2026-07-07 03:21:38;54680;220;53656;56;606;198;True;4899.1;1;0;9;9;2;55;119;;
2026-07-07 03:22:38;54680;220;53656;56;607;199;True;4943.2;1;0;8;10;12;55;119;;
2026-07-07 03:23:39;54680;220;53656;56;620;199;True;4987.5;1;0;8;8;14;55;119;;
2026-07-07 03:24:39;54680;220;53656;56;605;198;True;5031.8;1;0;8;10;14;55;119;;
2026-07-07 03:25:39;54680;220;53656;56;620;198;True;5076.1;1;0;8;11;12;55;119;;
2026-07-07 03:26:39;54680;220;53656;56;610;199;True;5120.3;1;0;8;8;8;55;119;;
2026-07-07 03:27:39;54680;220;53656;56;611;198;True;5164.5;1;0;8;9;11;55;119;;
2026-07-07 03:28:39;54680;220;53656;55;617;198;True;5208.6;1;0;8;8;13;55;119;;
2026-07-07 03:29:39;54680;220;53656;55;610;199;True;5253;1;0;7;6;8;56;119;;
2026-07-07 03:30:39;54680;220;53656;56;608;199;True;5297.1;1;0;8;7;13;52;119;;
2026-07-07 03:31:39;54680;220;53656;56;616;198;True;5341.4;1;0;9;11;12;46;119;;
2026-07-07 03:32:39;54680;220;53656;56;608;198;True;5385.9;1;0;8;11;14;42;119;;
2026-07-07 03:33:40;54680;221;53656;56;608;199;True;5430;1;0;8;9;11;44;119;;
2026-07-07 03:34:40;54680;221;53656;56;622;198;True;5474.4;1;0;8;9;14;45;119;;
2026-07-07 03:35:40;54680;221;53656;56;607;198;True;5518.6;1;0;9;10;9;46;119;;
2026-07-07 03:36:40;54680;221;53656;57;609;199;True;5562.9;1;0;8;7;13;47;119;;
2026-07-07 03:37:40;54680;221;53656;56;626;199;True;5607.2;1;0;8;9;12;47;119;;
2026-07-07 03:38:40;54680;221;53656;56;608;198;True;5651.5;1;0;8;8;13;48;119;;
2026-07-07 03:39:40;54680;221;53656;56;608;199;True;5695.7;1;0;8;8;11;49;119;;
2026-07-07 03:40:40;54680;221;53656;56;612;199;True;5740;1;0;7;6;12;49;119;;
2026-07-07 03:41:40;54680;221;53656;56;615;198;True;5784.2;1;0;8;11;16;50;119;;
2026-07-07 03:42:40;54680;221;53656;56;609;198;True;5828.5;1;0;9;10;14;50;119;;
2026-07-07 03:43:41;54680;221;53656;56;609;198;True;5872.7;1;0;8;8;9;50;119;;
2026-07-07 03:44:41;54680;221;53656;56;621;199;True;5917.2;1;0;7;8;10;51;119;;
2026-07-07 03:45:41;54680;221;53656;56;610;198;True;5961.3;1;0;8;9;10;51;119;;
2026-07-07 03:46:41;54680;276;53656;56;607;199;True;6005.4;1;0;8;10;14;51;119;;
2026-07-07 03:47:41;54680;221;53656;56;604;199;True;6049.9;1;0;8;8;10;52;119;;
2026-07-07 03:48:41;54680;221;53656;56;606;202;True;6094.2;1;0;7;6;12;52;119;;
2026-07-07 03:49:41;54680;221;53656;56;624;202;True;6138.4;1;0;8;8;14;52;119;;
2026-07-07 03:50:41;54680;221;53656;56;615;202;True;6182.6;1;0;8;10;13;52;119;;
2026-07-07 03:51:41;54680;221;53656;56;608;203;True;6226.9;1;0;8;7;10;52;119;;
2026-07-07 03:52:42;54680;221;53656;56;605;202;True;6271.2;1;0;8;8;9;52;119;;
2026-07-07 03:53:42;54680;221;53656;56;607;202;True;6315.4;1;0;8;8;10;53;119;;
2026-07-07 03:54:42;54680;221;53656;56;608;203;True;6359.8;1;0;7;7;10;53;119;;
2026-07-07 03:55:42;54680;221;53656;56;615;202;True;6404.1;1;0;8;8;14;53;119;;
2026-07-07 03:56:42;54680;221;53656;55;618;202;True;6448.4;1;0;8;10;18;53;119;;
2026-07-07 03:57:42;54680;221;53656;56;604;203;True;6492.7;1;0;8;9;14;53;119;;
2026-07-07 03:58:42;54680;221;53656;56;609;203;True;6536.9;1;0;9;9;10;53;119;;
2026-07-07 03:59:42;54680;221;53656;56;616;202;True;6581.2;1;0;9;9;11;53;119;;
